# claude-3-opus-20240229
(<, 0.14, -24)
(<=, 0.36, 70)
(>, 0.2, 37.5)
(>=, 0.72, 1400)
(<, 0.87, 3500)
(<=, 0.11, -18.9)
(>, 0.59, 500)
(>=, 0.45, 100)
(<, 0.3, 60)
(<=, 0.69, 280)
(>, 0.05, -1.7)
(>=, 0.24, 48)
(<, 0.8, 2800)
(<=, 0.46, 110)
(>, 0.77, 1800)
(>=, 0.16, -30)
(<, 0.51, 230)
(<=, 0.38, 700)
(>, 0.64, 400)
(>=, 0.04, -1.3)
(<, 0.22, 42)

# gemini-1.5-pro-api-0409-preview
(>=, 0.1, 10)
(>, 0.95, 200)
(<=, 0.8, 50)
(<, 0.01, -5)
(>=, 0.75, 75)
(>, 0.25, 15)
(<=, 0.3, 28)
(<, 0.6, 35)
(>=, 0.9, 90)
(>, 0.15, 12)
(<=, 0.45, 42)
(<, 0.5, 50)
(>=, 0.33, 30)
(>, 0.66, 65)
(<=, 0.2, 20)
(<, 0.8, 80)
(>=, 0.05, 5)
(>, 0.99, 100)
(<=, 0.7, 70)
(<, 0.4, 40)
(>=, 0.27, 25)
(>, 0.73, 75)
(<=, 0.18, 18)
(<, 0.82, 82)
(>=, 0.61, 60)
(>, 0.39, 39)
(<=, 0.12, 12)
(<, 0.88, 88)
(>=, 0.55, 55)
(>, 0.45, 45)
(<=, 0.09, 9)
(<, 0.91, 91)
(>=, 0.36, 36)
(>, 0.64, 64)
(<=, 0.24, 24)
(<, 0.76, 76)
(>=, 0.79, 79)
(>, 0.21, 21)
(<=, 0.11, 11)
(<, 0.89, 89)
(>=, 0.48, 48)
(>, 0.52, 52)
(<=, 0.03, 3)
(<, 0.97, 97)
(>=, 0.85, 85)
(>, 0.15, 15)
(<=, 0.06, 6)
(<, 0.94, 94)
(>=, 0.42, 42)
(>, 0.58, 58)
(<=, 0.31, 31)
(<, 0.69, 69)
(>=, 0.93, 93)
(>, 0.07, 7)
(<=, 0.16, 16)
(<, 0.84, 84)
(>=, 0.57, 57)
(>, 0.43, 43)
(<=, 0.29, 29)
(<, 0.71, 71)
(>, 0.45, 25.3)
(>, 0.5, 22)
(>, 0.55, 82)
(>, 0.6, -45)
(>, 0.65, 1524)
(>, 0.7, 0.05)
(>, 0.75, 4.14)
(>, 0.8, -270.15)
(>, 0.85, 133456)
(>, 0.9, 3)
(>, 0.95, 9)
(<=, 0.1, 5)
(<=, 0.15, 15)
(<=, 0.2, -15)
(<=, 0.25, 50)
(<=, 0.3, -2)
(<=, 0.35, 3.5)
(<=, 0.4, -12)
(<=, 0.45, 15.3)
(<=, 0.5, 14)
(<=, 0.55, 62)
(<=, 0.6, -52)
(<=, 0.65, 524)
(<=, 0.7, -0.01)
(<=, 0.75, 2.14)
(<=, 0.8, -275.15)
(<=, 0.85, 113456)
(<=, 0.9, 1)
(<=, 0.95, 5)
(<, 0.1, 4)
(<, 0.15, 10)
(<, 0.2, -17)
(<, 0.25, 40)
(<, 0.3, -4)
(<, 0.35, 2.5)
(<, 0.4, -14)
(<, 0.45, 10.3)
(<, 0.5, 12)
(<, 0.55, 52)
(<, 0.6, -55)
(<, 0.65, 424)
(<, 0.7, -0.05)
(<, 0.75, 1.14)
(<, 0.8, -280.15)
(<, 0.85, 103456)
(<, 0.9, 0)
(<, 0.95, 3)
(>=, 0.05, 25.6)
(>=, 0.12, -18.2)
(>=, 0.23, 1000)
(>=, 0.37, 0.5)
(>=, 0.48, -256)
(>=, 0.59, 3.14159)
(>=, 0.71, -1)
(>=, 0.84, 128)
(>=, 0.96, 64)
(>, 0.02, 12.8)
(>, 0.17, -9.1)
(>, 0.28, 500)
(>, 0.32, 0.25)
(>, 0.43, -128)
(>, 0.54, 1.5708)
(>, 0.76, -0.5)

# gpt-4-1106-preview
(>, 0.20, 40)
(<, 0.50, 100)
(<=, 0.055, -7)
(>=, 0.80, 87.3)
(<, 0.30, 60)
(>, 0.10, 20)
(<=, 0.25, 50)
(>=, 0.90, 120)
(>, 0.15, 30)
(<=, 0.40, 80)
(>=, 0.05, -50)
(>, 0.60, 70)
(<=, 0.70, 110)
(>, 0.45, 90)
(>=, 0.35, 55)
(<=, 0.85, 130)
(>, 0.02, -15)
(<=, 0.65, 100)
(>=, 0.75, 95)
(>, 0.95, 150)
(<, 0.12, 25)
(<=, 0.22, 45)
(>=, 0.32, 65)
(>, 0.42, 85)
(<=, 0.52, 105)
(>=, 0.62, 125)
(>, 0.72, 145)
(<=, 0.82, 165)
(>=, 0.92, 185)
(>, 0.11, 23)
(<=, 0.21, 43)
(>=, 0.31, 63)
(>, 0.41, 83)
(<, 0.51, 103)
(<=, 0.61, 123)
(>=, 0.71, 143)
(>, 0.81, 163)
(<=, 0.91, 183)
(>=, 0.01, 3)
(>, 0.14, 34)
(<=, 0.24, 54)
(>=, 0.34, 74)
(>, 0.44, 94)
(<=, 0.54, 114)
(>=, 0.64, 134)
(>, 0.74, 154)
(<=, 0.84, 174)
(>=, 0.94, 194)
(>, 0.13, 33)
(<=, 0.23, 53)
(>=, 0.33, 73)
(>, 0.43, 93)
(<=, 0.53, 113)
(>=, 0.63, 133)
(>, 0.73, 153)
(<=, 0.83, 173)
(>=, 0.93, 193)
(>, 0.17, 37)
(<=, 0.27, 57)
(>=, 0.37, 77)

# gpt-4-turbo-2024-04-09
(>=, 0.2, 40)
(<=, 0.5, 100)
(<, 0.055, -7)
(>, 0.8, 87.3)
(>=, 0.3, 22)
(<=, 0.7, 150)
(<, 0.1, 0)
(>, 0.9, 200)
(>=, 0.25, -5)
(<=, 0.45, 75)
(<, 0.02, -100)
(>, 0.95, 300)
(>=, 0.15, 10)
(<=, 0.55, 120)
(<, 0.065, 5)
(>, 0.85, 90)
(>=, 0.35, 30)
(<=, 0.65, 140)
(<, 0.075, 20)
(>, 0.92, 250)
(>=, 0.1, -20)
(<=, 0.4, 60)
(<, 0.03, -50)
(>, 0.88, 180)
(>=, 0.27, 27)
(<=, 0.47, 77)
(<, 0.08, 8)
(>, 0.82, 82)
(>=, 0.33, -33)
(<=, 0.63, 133)
(<, 0.013, -13)
(>, 0.89, 189)
(>=, 0.21, 21)
(<=, 0.51, 101)
(<, 0.011, -11)
(>, 0.93, 193)
(>=, 0.18, 18)
(<=, 0.48, 78)
(<, 0.06, 6)
(>, 0.81, 81)
(>=, 0.31, 31)
(<=, 0.61, 131)
(<, 0.09, 9)
(>, 0.91, 191)
(>=, 0.23, 23)
(<=, 0.49, 79)
(<, 0.04, 4)
(>, 0.84, 84)
(>=, 0.29, 29)
(<=, 0.59, 129)
(<, 0.025, -25)
(>, 0.87, 177)
(>=, 0.17, 17)
(<=, 0.57, 117)
(<, 0.07, 7)
(>, 0.97, 197)
(>=, 0.12, 12)
(<=, 0.42, 72)
(<, 0.05, 3)
(>, 0.9, 190)
(>=, 0.22, 24)
(<=, 0.52, 102)
(<, 0.55, 100)
(>=, 0.3, 50)
(>, 0.95, -5)
(<=, 0.1, 30)
(>=, 0.8, 70)
(>, 0.25, 60)
(<, 0.4, 90)
(<=, 0.15, 20)
(>=, 0.75, 85)
(>, 0.05, -10)
(>=, 0.2, 40)
(<=, 0.5, 100)
(>, 0.02, -7)
(<, 0.9, 87.3)
(<=, 0.65, 55)
(>, 0.85, 93)
(>=, 0.45, 65)
(<, 0.7, 80)
(>, 0.12, 25)
(<=, 0.35, 45)
(>=, 0.1, 15)
(>, 0.6, 75)
(<, 0.25, 35)
(>=, 0.05, 5)
(<=, 0.9, 95)
(>, 0.3, 65)
(<, 0.8, 120)
(>=, 0.55, 110)
(>, 0.1, 10)
(<=, 0.7, 90)
(>=, 0.4, 60)
(>, 0.2, 50)
(<, 0.15, 40)
(<=, 0.85, 85)
(>=, 0.05, -15)
(>, 0.25, -5)
(<, 0.95, 105)
(<=, 0.05, -20)
(>=, 0.35, 70)
(>, 0.65, 80)
(<, 0.45, 72)
(<=, 0.3, 62)
(>=, 0.75, 82)
(>, 0.55, 92)
(<, 0.85, 102)
(<=, 0.4, 12)
(>=, 0.2, 22)
(>, 0.1, 32)
(<, 0.5, 42)
(<=, 0.9, 52)
(>, 0.8, 62)
(>=, 0.25, 72)
(<=, 0.15, 82)
(<, 0.35, 92)
(>, 0.05, 2)
(>=, 0.65, 12)
(<=, 0.55, 22)
(<, 0.45, 32)
(>, 0.75, 42)
(>=, 0.05, 52)
(<=, 0.95, 62)
(<, 0.85, 72)
(>, 0.15, 82)
(>=, 0.25, 92)
(<=, 0.35, 15)
(<, 0.75, 25)
(>, 0.85, 35)
(>=, 0.95, 45)
(<=, 0.1, 55)
(<, 0.2, 65)
(>, 0.3, 75)
(>=, 0.4, 85)
(<=, 0.5, 95)
(<, 0.6, 105)
(>, 0.7, 115)
(>=, 0.8, 125)
(<=, 0.9, 135)
(<, 0.01, 145)
(>, 0.11, 155)
(>=, 0.21, 165)
(<=, 0.31, 175)
(<, 0.41, 185)
(>, 0.51, 195)
(>=, 0.61, 205)
(<=, 0.71, 215)
(<, 0.81, 225)
(>, 0.91, 235)
(>=, 0.01, 245)
(<=, 0.11, 255)
(<, 0.21, 265)
(>, 0.31, 275)
(>=, 0.41, 285)
(<=, 0.51, 295)
(<, 0.61, 305)
(>, 0.71, 315)
(>=, 0.81, 325)
(<=, 0.91, 335)
(<, 0.02, 345)
(>, 0.12, 355)
(>=, 0.22, 365)
(<=, 0.32, 375)
(<, 0.42, 385)
(>, 0.52, 395)
(>=, 0.62, 405)
(<=, 0.72, 415)
(<, 0.82, 425)
(>, 0.92, 435)
(>=, 0.02, 445)
(<=, 0.12, 455)
(<, 0.22, 465)
(>, 0.32, 475)
(>=, 0.42, 485)
(<=, 0.52, 495)
(<, 0.62, 505)
(>, 0.72, 515)
(>=, 0.82, 525)
(<=, 0.92, 535)
(<, 0.03, 545)

# llama-3-70b-instruct
(>, 0.8, 50)
(<=, 0.3, -2)
(<, 0.1, 10)
(>=, 0.9, 200)
(>, 0.4, 75)
(<=, 0.6, 30)
(<, 0.05, -5)
(>=, 0.7, 150)
(>, 0.2, 40)
(<=, 0.8, 90)
(<, 0.15, 25)
(>=, 0.95, 300)
(>, 0.6, 120)
(<=, 0.4, 60)
(<, 0.01, -10)
(>=, 0.85, 250)
(>, 0.1, 20)
(<=, 0.9, 180)
(<, 0.25, 50)
(>=, 0.98, 350)
(>, 0.5, 100)
(<=, 0.7, 140)
(<, 0.03, -15)
(>=, 0.92, 280)
(>, 0.3, 60)
(<=, 0.8, 160)
(<, 0.12, 30)
(>=, 0.99, 400)
(>, 0.4, 80)
(<=, 0.9, 200)
(<, 0.07, -20)
(>=, 0.96, 320)
(>, 0.2, 40)
(<=, 0.8, 180)
(<, 0.18, 45)
(>=, 0.94, 300)
(>, 0.6, 120)
(<=, 0.7, 150)
(<, 0.02, -12)
(>=, 0.91, 260)
(>, 0.1, 25)
(<=, 0.9, 220)
(<, 0.28, 55)
(>=, 0.97, 340)
(>, 0.5, 110)
(<=, 0.8, 190)
(<, 0.04, -18)
(>=, 0.93, 290)
(>, 0.3, 65)
(<=, 0.9, 240)
(<, 0.22, 50)
(>=, 0.99, 420)
(>, 0.4, 90)
(<=, 0.8, 210)
(<, 0.09, -25)
(>=, 0.95, 330)
(>, 0.2, 45)
(<=, 0.9, 270)
(<, 0.16, 35)
(>=, 0.98, 390)
